investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,amount
INV000548,2024-01-01,119095,SIP,1607,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,VERIFIED,1607
INV000600,2024-01-01,149322,SIP,20890,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,VERIFIED,20890
INV004347,2024-01-01,119599,SIP,1862,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,VERIFIED,1862
INV000437,2024-01-01,120504,SIP,900,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,VERIFIED,900
INV000609,2024-01-01,120842,SIP,8493,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,VERIFIED,8493
INV000428,2024-01-01,118636,SIP,9146,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,VERIFIED,9146
INV003329,2024-01-01,101207,Lumpsum,295055,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,VERIFIED,295055
INV000968,2024-01-01,100025,Lumpsum,497564,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,VERIFIED,497564
INV004154,2024-01-01,102885,SIP,1897,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,VERIFIED,1897
INV000234,2024-01-01,148567,SIP,28094,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,VERIFIED,28094
INV002885,2024-01-01,148567,Lumpsum,430566,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,PENDING,430566
INV002157,2024-01-01,102885,Lumpsum,112928,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,VERIFIED,112928
INV001665,2024-01-01,120505,SIP,3322,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,VERIFIED,3322
INV002328,2024-01-01,120841,SIP,29901,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,VERIFIED,29901
INV004174,2024-01-01,119599,SIP,57353,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,VERIFIED,57353
INV004918,2024-01-01,120503,Redemption,153828,Punjab,Amritsar,B30,56+,Female,46.9,UPI,VERIFIED,153828
INV000478,2024-01-01,120506,SIP,59382,Gujarat,Surat,T30,36-45,Female,16.5,UPI,VERIFIED,59382
INV000467,2024-01-01,119552,SIP,2623,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,VERIFIED,2623
INV000603,2024-01-01,118636,SIP,2858,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,VERIFIED,2858
INV004770,2024-01-01,102886,Lumpsum,92031,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,VERIFIED,92031
INV004648,2024-01-01,118634,SIP,17860,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,PENDING,17860
INV002432,2024-01-01,101208,SIP,3513,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,VERIFIED,3513
INV002338,2024-01-01,120844,Lumpsum,292991,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,VERIFIED,292991
INV001041,2024-01-01,101208,SIP,8547,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,VERIFIED,8547
INV001400,2024-01-01,148567,SIP,10696,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,VERIFIED,10696
INV000852,2024-01-01,101208,SIP,15916,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,VERIFIED,15916
INV004915,2024-01-01,120504,SIP,14096,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,VERIFIED,14096
INV002984,2024-01-01,120844,Redemption,230179,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,VERIFIED,230179
INV002782,2024-01-01,102886,Lumpsum,250209,Punjab,Chandigarh,T30,18-25,Male,3.7,UPI,VERIFIED,250209
INV002316,2024-01-01,118632,SIP,4715,Punjab,Amritsar,B30,26-35,Male,16.7,Cheque,VERIFIED,4715
INV000097,2024-01-01,125498,Redemption,527377,Karnataka,Mysore,B30,18-25,Male,6.0,Net Banking,VERIFIED,527377
INV002139,2024-01-01,125498,Redemption,359482,Haryana,Gurugram,T30,36-45,Female,28.6,Mandate,VERIFIED,359482
INV002219,2024-01-01,101208,Redemption,525983,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,VERIFIED,525983
INV000576,2024-01-01,120841,Redemption,43157,Delhi,New Delhi,T30,46-55,Male,79.7,UPI,VERIFIED,43157
INV002166,2024-01-01,120844,SIP,1139,Haryana,Gurugram,T30,36-45,Male,33.3,Net Banking,VERIFIED,1139
INV000836,2024-01-01,100016,SIP,1139,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,VERIFIED,1139
INV001540,2024-01-01,101207,SIP,16264,Maharashtra,Pune,T30,26-35,Female,17.3,UPI,VERIFIED,16264
INV003664,2024-01-01,125498,SIP,15555,Rajasthan,Udaipur,B30,46-55,Male,29.4,UPI,VERIFIED,15555
INV002966,2024-01-01,149324,SIP,15946,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Mandate,VERIFIED,15946
INV002387,2024-01-01,118634,SIP,2891,Telangana,Hyderabad,T30,26-35,Male,13.1,UPI,VERIFIED,2891
INV000983,2024-01-01,101206,SIP,3538,Telangana,Hyderabad,T30,36-45,Male,33.5,UPI,VERIFIED,3538
INV004128,2024-01-01,119094,Redemption,58934,Haryana,Faridabad,B30,18-25,Male,3.3,UPI,VERIFIED,58934
INV000081,2024-01-01,120844,SIP,1842,Gujarat,Surat,T30,36-45,Male,31.0,Net Banking,VERIFIED,1842
INV004548,2024-01-01,119551,Lumpsum,564276,Delhi,Noida,T30,36-45,Female,58.1,Cheque,VERIFIED,564276
INV002253,2024-01-01,120844,Redemption,289915,West Bengal,Kolkata,T30,46-55,Male,28.6,Net Banking,VERIFIED,289915
INV002942,2024-01-01,148568,Redemption,233200,Delhi,Noida,T30,36-45,Male,27.8,Cheque,VERIFIED,233200
INV004308,2024-01-01,119599,SIP,25855,Gujarat,Surat,T30,26-35,Female,11.1,Mandate,VERIFIED,25855
INV000488,2024-01-01,148568,Redemption,343317,Karnataka,Mysore,B30,56+,Male,31.4,Cheque,VERIFIED,343317
INV002560,2024-01-02,119120,SIP,6321,Haryana,Faridabad,B30,26-35,Male,6.4,Net Banking,VERIFIED,6321
INV003028,2024-01-02,100033,SIP,25360,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Cheque,VERIFIED,25360
INV002868,2024-01-02,148569,SIP,59797,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Net Banking,VERIFIED,59797
INV001156,2024-01-02,120843,SIP,28986,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,PENDING,28986
INV000313,2024-01-02,120843,Lumpsum,497034,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Net Banking,VERIFIED,497034
INV003926,2024-01-02,118632,SIP,1891,West Bengal,Kolkata,T30,46-55,Male,92.8,UPI,VERIFIED,1891
INV003383,2024-01-02,125497,Redemption,241316,Karnataka,Mysore,B30,18-25,Male,4.6,Net Banking,VERIFIED,241316
INV001017,2024-01-02,118632,Redemption,16893,West Bengal,Kolkata,T30,26-35,Female,19.0,Cheque,VERIFIED,16893
INV003225,2024-01-02,120843,SIP,3346,West Bengal,Kolkata,T30,26-35,Male,9.2,UPI,VERIFIED,3346
INV003892,2024-01-02,102887,SIP,7250,Punjab,Amritsar,B30,46-55,Male,24.4,Mandate,VERIFIED,7250
INV002135,2024-01-02,100016,Lumpsum,437305,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,VERIFIED,437305
INV002961,2024-01-02,149322,SIP,16811,Gujarat,Ahmedabad,T30,26-35,Male,13.0,Net Banking,VERIFIED,16811
INV000983,2024-01-02,101208,SIP,10547,Telangana,Hyderabad,T30,36-45,Male,33.5,Net Banking,VERIFIED,10547
INV003821,2024-01-02,119092,SIP,7584,Delhi,Noida,T30,18-25,Female,6.4,UPI,PENDING,7584
INV002940,2024-01-02,102886,SIP,966,Haryana,Faridabad,B30,26-35,Male,18.3,Cheque,VERIFIED,966
INV002817,2024-01-02,102886,Lumpsum,26453,Gujarat,Ahmedabad,T30,26-35,Male,15.8,UPI,VERIFIED,26453
INV001890,2024-01-02,120504,SIP,859,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Mandate,VERIFIED,859
INV001888,2024-01-02,120505,Redemption,410786,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,VERIFIED,410786
INV000370,2024-01-02,118634,SIP,17394,Delhi,Noida,T30,26-35,Female,12.4,Mandate,VERIFIED,17394
INV002981,2024-01-02,102886,Lumpsum,100110,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,VERIFIED,100110
INV003027,2024-01-02,148569,Lumpsum,330642,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,VERIFIED,330642
INV001106,2024-01-02,118636,Lumpsum,50410,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,VERIFIED,50410
INV003942,2024-01-02,118632,SIP,16594,Haryana,Faridabad,B30,26-35,Female,23.3,Cheque,VERIFIED,16594
INV000339,2024-01-02,101207,Redemption,383487,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,VERIFIED,383487
INV002811,2024-01-02,125497,SIP,2631,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Net Banking,VERIFIED,2631
INV004296,2024-01-02,100025,SIP,879,Telangana,Hyderabad,T30,26-35,Male,18.2,UPI,VERIFIED,879
INV002976,2024-01-02,119599,Lumpsum,234926,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,VERIFIED,234926
INV000349,2024-01-02,120505,Redemption,335222,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,VERIFIED,335222
INV002546,2024-01-02,101208,Redemption,22305,Gujarat,Surat,T30,26-35,Male,19.3,UPI,VERIFIED,22305
INV003505,2024-01-02,120843,Lumpsum,362856,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,VERIFIED,362856
INV000006,2024-01-02,118633,SIP,8594,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,VERIFIED,8594
INV000662,2024-01-02,120843,SIP,427,Gujarat,Surat,T30,36-45,Female,20.1,Cheque,VERIFIED,427
INV001284,2024-01-02,119092,Lumpsum,6499,West Bengal,Kolkata,T30,36-45,Male,49.0,Cheque,VERIFIED,6499
INV004127,2024-01-02,148568,SIP,4185,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Mandate,VERIFIED,4185
INV003208,2024-01-02,120506,SIP,2506,Madhya Pradesh,Bhopal,B30,46-55,Male,80.0,Mandate,VERIFIED,2506
INV002165,2024-01-02,118634,SIP,2539,Telangana,Hyderabad,T30,46-55,Male,46.2,Net Banking,VERIFIED,2539
INV002621,2024-01-02,148567,SIP,401,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,PENDING,401
INV004502,2024-01-02,148567,SIP,10492,Rajasthan,Udaipur,B30,36-45,Male,59.0,Net Banking,VERIFIED,10492
INV001174,2024-01-02,149323,SIP,977,Maharashtra,Nashik,B30,36-45,Male,12.7,Cheque,VERIFIED,977
INV004658,2024-01-02,120842,Lumpsum,17258,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,VERIFIED,17258
INV004656,2024-01-02,120844,Lumpsum,357937,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,VERIFIED,357937
INV003658,2024-01-02,125498,SIP,12014,West Bengal,Kolkata,T30,26-35,Male,6.3,UPI,VERIFIED,12014
INV003649,2024-01-02,119598,Redemption,483596,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,VERIFIED,483596
INV004582,2024-01-02,149323,Lumpsum,249744,Tamil Nadu,Chennai,T30,56+,Male,67.1,Net Banking,VERIFIED,249744
INV003232,2024-01-02,120842,SIP,9766,Maharashtra,Pune,T30,36-45,Female,30.9,Mandate,VERIFIED,9766
INV004414,2024-01-02,149324,SIP,14409,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Mandate,VERIFIED,14409
INV001799,2024-01-02,119120,Lumpsum,116421,Rajasthan,Udaipur,B30,56+,Female,45.2,Cheque,VERIFIED,116421
INV001506,2024-01-02,119552,Lumpsum,19502,Delhi,Noida,T30,26-35,Female,16.0,UPI,VERIFIED,19502
INV001699,2024-01-02,119095,SIP,1108,Madhya Pradesh,Indore,T30,26-35,Male,24.6,Net Banking,VERIFIED,1108
INV002196,2024-01-02,148569,SIP,1696,Delhi,Gurugram,T30,26-35,Female,23.6,UPI,VERIFIED,1696
INV001328,2024-01-02,120842,Redemption,484947,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Net Banking,VERIFIED,484947
INV004567,2024-01-02,120841,SIP,14130,Telangana,Hyderabad,T30,56+,Male,75.0,Mandate,VERIFIED,14130
INV003865,2024-01-02,149322,SIP,3482,Gujarat,Ahmedabad,T30,18-25,Female,3.3,Cheque,VERIFIED,3482
INV000105,2024-01-02,119093,SIP,5253,Punjab,Chandigarh,T30,56+,Male,41.4,UPI,VERIFIED,5253
INV004514,2024-01-02,148568,SIP,16661,Haryana,Faridabad,B30,46-55,Male,40.1,Mandate,VERIFIED,16661
INV004516,2024-01-02,102885,SIP,1137,Haryana,Gurugram,T30,36-45,Male,14.4,Net Banking,VERIFIED,1137
INV002374,2024-01-02,118634,Redemption,81173,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Net Banking,VERIFIED,81173
INV001727,2024-01-02,119598,SIP,16687,Gujarat,Surat,T30,46-55,Female,74.1,Net Banking,VERIFIED,16687
INV002888,2024-01-03,100025,Redemption,259110,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,PENDING,259110
INV001769,2024-01-03,120506,SIP,889,Punjab,Chandigarh,T30,18-25,Male,7.4,Cheque,PENDING,889
INV003609,2024-01-03,120843,SIP,16476,Karnataka,Mysore,B30,26-35,Male,9.2,Net Banking,VERIFIED,16476
INV003571,2024-01-03,149323,SIP,536,Haryana,Faridabad,B30,36-45,Male,53.1,UPI,VERIFIED,536
INV001367,2024-01-03,118632,SIP,10274,Maharashtra,Nashik,B30,36-45,Male,32.2,Net Banking,VERIFIED,10274
INV003178,2024-01-03,119094,Lumpsum,118897,Telangana,Hyderabad,T30,46-55,Female,60.9,Cheque,VERIFIED,118897
INV002599,2024-01-03,100025,Lumpsum,286111,Gujarat,Surat,T30,26-35,Male,11.4,Net Banking,VERIFIED,286111
INV003626,2024-01-03,125497,Redemption,483044,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Net Banking,VERIFIED,483044
INV000690,2024-01-03,148569,Lumpsum,173646,Delhi,Gurugram,T30,46-55,Male,98.7,UPI,VERIFIED,173646
INV001860,2024-01-03,119092,SIP,1978,Karnataka,Mysore,B30,26-35,Female,9.0,Cheque,VERIFIED,1978
INV002065,2024-01-03,100025,SIP,47647,Rajasthan,Udaipur,B30,46-55,Male,78.6,UPI,VERIFIED,47647
INV002708,2024-01-03,120504,Redemption,205486,Karnataka,Mysore,B30,26-35,Male,14.0,Mandate,VERIFIED,205486
INV004288,2024-01-03,119120,Lumpsum,95676,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,VERIFIED,95676
INV004581,2024-01-03,120505,SIP,2292,Gujarat,Surat,T30,26-35,Male,14.7,Cheque,PENDING,2292
INV002467,2024-01-03,125498,SIP,50948,Punjab,Chandigarh,T30,36-45,Male,12.3,UPI,VERIFIED,50948
INV003670,2024-01-03,120505,SIP,8793,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,VERIFIED,8793
INV004024,2024-01-03,119552,SIP,43121,Telangana,Hyderabad,T30,36-45,Male,23.1,UPI,VERIFIED,43121
INV000747,2024-01-03,120841,Lumpsum,374549,West Bengal,Kolkata,T30,36-45,Female,40.3,Mandate,VERIFIED,374549
INV002847,2024-01-03,148567,SIP,4736,Haryana,Faridabad,B30,26-35,Male,13.4,Mandate,VERIFIED,4736
INV001508,2024-01-03,120503,SIP,7953,Tamil Nadu,Coimbatore,B30,46-55,Male,63.3,Cheque,VERIFIED,7953
INV004562,2024-01-03,149324,SIP,963,Telangana,Hyderabad,T30,26-35,Female,19.0,Cheque,PENDING,963
INV001350,2024-01-03,125498,Lumpsum,83480,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Net Banking,VERIFIED,83480
INV002357,2024-01-03,100016,SIP,26713,Delhi,Gurugram,T30,26-35,Male,7.8,UPI,VERIFIED,26713
INV002059,2024-01-03,101208,Lumpsum,268619,Haryana,Faridabad,B30,46-55,Male,95.1,Net Banking,VERIFIED,268619
INV000595,2024-01-03,102887,Lumpsum,124825,Gujarat,Surat,T30,18-25,Male,7.6,Cheque,VERIFIED,124825
INV004391,2024-01-03,118636,SIP,484,Maharashtra,Mumbai,T30,26-35,Female,23.3,UPI,VERIFIED,484
INV004733,2024-01-03,102885,SIP,7080,Telangana,Hyderabad,T30,18-25,Male,5.4,Net Banking,PENDING,7080
INV002865,2024-01-03,148569,Redemption,449863,Maharashtra,Pune,T30,18-25,Male,3.3,UPI,VERIFIED,449863
INV000454,2024-01-03,119599,SIP,15910,Uttar Pradesh,Lucknow,T30,18-25,Female,6.6,Net Banking,VERIFIED,15910
INV002414,2024-01-03,120507,Lumpsum,396379,Gujarat,Surat,T30,26-35,Female,24.1,UPI,VERIFIED,396379
INV000321,2024-01-03,149323,SIP,15782,Maharashtra,Mumbai,T30,26-35,Male,24.2,Cheque,VERIFIED,15782
INV003379,2024-01-03,120841,SIP,1008,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Cheque,VERIFIED,1008
INV004544,2024-01-03,148567,Redemption,410715,Maharashtra,Mumbai,T30,36-45,Male,52.1,Cheque,VERIFIED,410715
INV000527,2024-01-03,119094,Lumpsum,114021,Telangana,Hyderabad,T30,26-35,Male,12.1,Mandate,VERIFIED,114021
INV004633,2024-01-03,125498,Lumpsum,296354,Telangana,Hyderabad,T30,18-25,Female,4.9,Net Banking,VERIFIED,296354
INV003737,2024-01-03,119093,Lumpsum,126721,Punjab,Chandigarh,T30,18-25,Male,4.4,Net Banking,VERIFIED,126721
INV000679,2024-01-03,149323,Redemption,141968,Haryana,Faridabad,B30,46-55,Female,79.1,UPI,VERIFIED,141968
INV004357,2024-01-03,125498,SIP,2459,Delhi,Gurugram,T30,46-55,Female,55.6,Cheque,VERIFIED,2459
INV004941,2024-01-03,120505,Lumpsum,310085,Maharashtra,Nashik,B30,26-35,Male,11.0,Net Banking,VERIFIED,310085
INV000632,2024-01-03,120844,Lumpsum,246606,Delhi,Gurugram,T30,36-45,Male,49.1,UPI,VERIFIED,246606
INV000849,2024-01-03,148567,Lumpsum,254442,Delhi,Gurugram,T30,56+,Female,32.5,Cheque,VERIFIED,254442
INV001167,2024-01-03,118636,SIP,41124,Punjab,Amritsar,B30,36-45,Male,26.7,Net Banking,VERIFIED,41124
INV000007,2024-01-03,119094,SIP,13603,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Mandate,VERIFIED,13603
INV000431,2024-01-03,120504,SIP,23759,Madhya Pradesh,Bhopal,B30,18-25,Female,4.6,Mandate,VERIFIED,23759
INV002417,2024-01-03,120842,SIP,2719,Tamil Nadu,Coimbatore,B30,26-35,Male,16.8,Mandate,VERIFIED,2719
INV000011,2024-01-03,120507,SIP,2230,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,VERIFIED,2230
INV001167,2024-01-03,102886,SIP,8419,Punjab,Amritsar,B30,36-45,Male,26.7,UPI,VERIFIED,8419
INV000954,2024-01-03,148568,SIP,2224,Haryana,Faridabad,B30,26-35,Female,8.3,Cheque,VERIFIED,2224
INV002101,2024-01-03,102887,Redemption,234810,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Mandate,VERIFIED,234810
INV000947,2024-01-03,101208,Redemption,281989,Delhi,Noida,T30,26-35,Male,11.0,UPI,VERIFIED,281989
INV004867,2024-01-03,100033,Lumpsum,331777,Karnataka,Bangalore,T30,18-25,Male,7.3,Mandate,VERIFIED,331777
INV004125,2024-01-03,100016,SIP,2999,Gujarat,Surat,T30,26-35,Male,9.4,Cheque,VERIFIED,2999
INV001910,2024-01-03,102886,Redemption,502057,Karnataka,Mysore,B30,26-35,Female,15.2,Mandate,VERIFIED,502057
INV001411,2024-01-03,102886,SIP,2998,Delhi,Gurugram,T30,26-35,Female,7.1,Cheque,VERIFIED,2998
INV003326,2024-01-03,125498,SIP,2712,Karnataka,Bangalore,T30,36-45,Male,40.9,Mandate,VERIFIED,2712
INV004173,2024-01-03,120504,SIP,479,West Bengal,Kolkata,T30,26-35,Male,16.9,Mandate,VERIFIED,479
INV004867,2024-01-03,120506,SIP,3082,Karnataka,Bangalore,T30,18-25,Male,7.3,UPI,PENDING,3082
INV001454,2024-01-03,120843,SIP,554,Tamil Nadu,Chennai,T30,26-35,Male,9.3,Net Banking,VERIFIED,554
INV003100,2024-01-04,149324,Lumpsum,361700,Telangana,Hyderabad,T30,26-35,Male,16.5,Net Banking,VERIFIED,361700
INV000215,2024-01-04,120505,Lumpsum,190843,Maharashtra,Nashik,B30,26-35,Female,18.3,Mandate,VERIFIED,190843
INV003191,2024-01-04,119092,Lumpsum,94475,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Mandate,VERIFIED,94475
INV003946,2024-01-04,120504,Lumpsum,465127,Karnataka,Mysore,B30,26-35,Female,9.2,Net Banking,VERIFIED,465127
INV000330,2024-01-04,119552,SIP,8747,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Mandate,VERIFIED,8747
INV004797,2024-01-04,125497,Lumpsum,178854,Gujarat,Ahmedabad,T30,56+,Male,18.9,Net Banking,VERIFIED,178854
INV000330,2024-01-04,120841,Lumpsum,351770,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Net Banking,VERIFIED,351770
INV001128,2024-01-04,120844,Lumpsum,168521,West Bengal,Kolkata,T30,36-45,Female,43.2,Cheque,VERIFIED,168521
INV002302,2024-01-04,125498,Lumpsum,153713,West Bengal,Kolkata,T30,26-35,Male,10.1,UPI,VERIFIED,153713
INV002495,2024-01-04,118636,SIP,2727,Maharashtra,Nashik,B30,26-35,Male,6.6,Net Banking,VERIFIED,2727
INV002158,2024-01-04,120507,Lumpsum,39096,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Net Banking,VERIFIED,39096
INV000144,2024-01-04,120503,SIP,499,Delhi,Noida,T30,26-35,Male,19.1,Net Banking,VERIFIED,499
INV004563,2024-01-04,118634,Lumpsum,38117,Gujarat,Surat,T30,46-55,Female,32.2,Cheque,VERIFIED,38117
INV002912,2024-01-04,149323,Redemption,520148,Maharashtra,Mumbai,T30,26-35,Female,23.6,Net Banking,VERIFIED,520148
INV002343,2024-01-04,119093,SIP,1182,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,VERIFIED,1182
INV000091,2024-01-04,120504,SIP,2368,Haryana,Gurugram,T30,26-35,Male,14.6,Mandate,VERIFIED,2368
INV004688,2024-01-04,120505,Lumpsum,168104,West Bengal,Kolkata,T30,26-35,Male,20.7,UPI,VERIFIED,168104
INV004321,2024-01-04,120843,SIP,1147,West Bengal,Kolkata,T30,26-35,Male,16.0,Mandate,VERIFIED,1147
INV001579,2024-01-04,125498,SIP,40657,Karnataka,Bangalore,T30,46-55,Male,71.1,UPI,VERIFIED,40657
INV003705,2024-01-04,120506,SIP,57004,Telangana,Hyderabad,T30,26-35,Male,8.0,UPI,PENDING,57004
INV000544,2024-01-04,120507,Lumpsum,295246,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Mandate,VERIFIED,295246
INV001997,2024-01-04,120505,SIP,908,Delhi,New Delhi,T30,56+,Female,24.8,UPI,VERIFIED,908
INV003707,2024-01-04,120506,SIP,3527,Telangana,Hyderabad,T30,36-45,Female,55.5,Mandate,VERIFIED,3527
INV000372,2024-01-04,148569,Lumpsum,209421,Gujarat,Surat,T30,36-45,Male,12.4,Cheque,VERIFIED,209421
INV001331,2024-01-04,120841,SIP,568,Gujarat,Ahmedabad,T30,26-35,Male,17.5,Net Banking,VERIFIED,568
INV002033,2024-01-04,102885,SIP,8905,Gujarat,Ahmedabad,T30,46-55,Male,18.9,UPI,VERIFIED,8905
INV003953,2024-01-04,148569,SIP,58436,Maharashtra,Pune,T30,36-45,Male,17.4,Mandate,VERIFIED,58436
INV003500,2024-01-04,120505,SIP,2007,Maharashtra,Mumbai,T30,26-35,Male,15.5,Mandate,PENDING,2007
INV003240,2024-01-04,101206,SIP,6686,Haryana,Gurugram,T30,26-35,Male,21.7,Net Banking,PENDING,6686
INV003040,2024-01-04,119598,Lumpsum,468352,Karnataka,Bangalore,T30,26-35,Female,15.3,Cheque,VERIFIED,468352
INV000663,2024-01-04,148568,SIP,558,Haryana,Gurugram,T30,26-35,Female,13.8,Mandate,PENDING,558
INV003083,2024-01-04,125497,Lumpsum,201815,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,UPI,VERIFIED,201815
INV004131,2024-01-04,101208,SIP,2343,Uttar Pradesh,Kanpur,B30,26-35,Male,10.3,UPI,VERIFIED,2343
INV001806,2024-01-04,102885,SIP,20256,Telangana,Hyderabad,T30,36-45,Male,32.6,UPI,VERIFIED,20256
INV001190,2024-01-04,118636,SIP,9909,Maharashtra,Mumbai,T30,26-35,Male,15.6,Mandate,VERIFIED,9909
INV004939,2024-01-04,118635,SIP,25211,Punjab,Amritsar,B30,18-25,Male,4.7,Cheque,VERIFIED,25211
INV004896,2024-01-04,148567,Lumpsum,22023,Uttar Pradesh,Agra,B30,18-25,Female,3.5,Mandate,VERIFIED,22023
INV004682,2024-01-04,120841,SIP,571,Telangana,Hyderabad,T30,26-35,Female,8.7,Mandate,VERIFIED,571
