fund_name,year,month,average_nav
ABSL Frontline Equity Fund - Regular - Growth,2025,1,461.9963
ABSL Frontline Equity Fund - Regular - Growth,2025,2,457.0209
ABSL Frontline Equity Fund - Regular - Growth,2025,3,486.0117
ABSL Frontline Equity Fund - Regular - Growth,2025,4,492.1029
ABSL Frontline Equity Fund - Regular - Growth,2025,5,520.1787
ABSL Frontline Equity Fund - Regular - Growth,2025,6,528.164
ABSL Frontline Equity Fund - Regular - Growth,2025,7,535.2537
ABSL Frontline Equity Fund - Regular - Growth,2025,8,566.6787
ABSL Frontline Equity Fund - Regular - Growth,2025,9,570.0305
ABSL Frontline Equity Fund - Regular - Growth,2025,10,574.2503
ABSL Frontline Equity Fund - Regular - Growth,2025,11,574.243
ABSL Frontline Equity Fund - Regular - Growth,2025,12,562.422
ABSL Frontline Equity Fund - Regular - Growth,2026,1,595.0794
ABSL Frontline Equity Fund - Regular - Growth,2026,2,660.8941
ABSL Frontline Equity Fund - Regular - Growth,2026,3,733.871
ABSL Frontline Equity Fund - Regular - Growth,2026,4,773.5203
ABSL Frontline Equity Fund - Regular - Growth,2026,5,779.0825
ABSL Liquid Fund - Regular - Growth,2022,1,311.6351
ABSL Liquid Fund - Regular - Growth,2022,2,313.668
ABSL Liquid Fund - Regular - Growth,2022,3,315.9831
ABSL Liquid Fund - Regular - Growth,2022,4,317.6644
ABSL Liquid Fund - Regular - Growth,2022,5,319.2226
ABSL Liquid Fund - Regular - Growth,2022,6,320.094
ABSL Liquid Fund - Regular - Growth,2022,7,321.8807
ABSL Liquid Fund - Regular - Growth,2022,8,324.0539
ABSL Liquid Fund - Regular - Growth,2022,9,325.7172
ABSL Liquid Fund - Regular - Growth,2022,10,327.6651
ABSL Liquid Fund - Regular - Growth,2022,11,329.4477
ABSL Liquid Fund - Regular - Growth,2022,12,331.7895
ABSL Liquid Fund - Regular - Growth,2023,1,334.0668
ABSL Liquid Fund - Regular - Growth,2023,2,335.9225
ABSL Liquid Fund - Regular - Growth,2023,3,337.3618
ABSL Liquid Fund - Regular - Growth,2023,4,338.6637
ABSL Liquid Fund - Regular - Growth,2023,5,340.4614
ABSL Liquid Fund - Regular - Growth,2023,6,342.3601
ABSL Liquid Fund - Regular - Growth,2023,7,344.2481
ABSL Liquid Fund - Regular - Growth,2023,8,346.1305
ABSL Liquid Fund - Regular - Growth,2023,9,346.9012
ABSL Liquid Fund - Regular - Growth,2023,10,348.6186
ABSL Liquid Fund - Regular - Growth,2023,11,350.6613
ABSL Liquid Fund - Regular - Growth,2023,12,352.7799
ABSL Liquid Fund - Regular - Growth,2024,1,354.8256
ABSL Liquid Fund - Regular - Growth,2024,2,356.174
ABSL Liquid Fund - Regular - Growth,2024,3,358.5553
ABSL Liquid Fund - Regular - Growth,2024,4,360.2199
ABSL Liquid Fund - Regular - Growth,2024,5,361.6216
ABSL Liquid Fund - Regular - Growth,2024,6,363.6755
ABSL Liquid Fund - Regular - Growth,2024,7,365.3985
ABSL Liquid Fund - Regular - Growth,2024,8,366.6059
ABSL Liquid Fund - Regular - Growth,2024,9,368.1807
ABSL Liquid Fund - Regular - Growth,2024,10,370.1146
ABSL Liquid Fund - Regular - Growth,2024,11,372.0613
ABSL Liquid Fund - Regular - Growth,2024,12,373.8201
ABSL Liquid Fund - Regular - Growth,2025,1,375.5145
ABSL Liquid Fund - Regular - Growth,2025,2,377.2106
ABSL Liquid Fund - Regular - Growth,2025,3,378.8083
ABSL Liquid Fund - Regular - Growth,2025,4,379.8595
ABSL Liquid Fund - Regular - Growth,2025,5,381.6843
ABSL Liquid Fund - Regular - Growth,2025,6,383.7757
ABSL Liquid Fund - Regular - Growth,2025,7,385.5776
ABSL Liquid Fund - Regular - Growth,2025,8,387.6025
ABSL Liquid Fund - Regular - Growth,2025,9,389.6924
ABSL Liquid Fund - Regular - Growth,2025,10,392.0124
ABSL Liquid Fund - Regular - Growth,2025,11,394.7781
ABSL Liquid Fund - Regular - Growth,2025,12,397.5277
ABSL Liquid Fund - Regular - Growth,2026,1,399.8784
ABSL Liquid Fund - Regular - Growth,2026,2,402.1449
ABSL Liquid Fund - Regular - Growth,2026,3,404.4809
ABSL Liquid Fund - Regular - Growth,2026,4,406.479
ABSL Liquid Fund - Regular - Growth,2026,5,408.9022
ABSL Small Cap Fund - Regular - Growth,2022,1,38.7061
ABSL Small Cap Fund - Regular - Growth,2022,2,39.6507
ABSL Small Cap Fund - Regular - Growth,2022,3,40.2278
ABSL Small Cap Fund - Regular - Growth,2022,4,42.8142
ABSL Small Cap Fund - Regular - Growth,2022,5,40.5122
ABSL Small Cap Fund - Regular - Growth,2022,6,39.1012
ABSL Small Cap Fund - Regular - Growth,2022,7,43.8477
ABSL Small Cap Fund - Regular - Growth,2022,8,48.195
ABSL Small Cap Fund - Regular - Growth,2022,9,51.7879
ABSL Small Cap Fund - Regular - Growth,2022,10,56.409
ABSL Small Cap Fund - Regular - Growth,2022,11,51.2959
ABSL Small Cap Fund - Regular - Growth,2022,12,50.6645
ABSL Small Cap Fund - Regular - Growth,2023,1,52.1446
ABSL Small Cap Fund - Regular - Growth,2023,2,53.021
ABSL Small Cap Fund - Regular - Growth,2023,3,56.6712
ABSL Small Cap Fund - Regular - Growth,2023,4,54.2098
ABSL Small Cap Fund - Regular - Growth,2023,5,59.4482
ABSL Small Cap Fund - Regular - Growth,2023,6,59.8829
ABSL Small Cap Fund - Regular - Growth,2023,7,60.914
ABSL Small Cap Fund - Regular - Growth,2023,8,60.8386
ABSL Small Cap Fund - Regular - Growth,2023,9,57.0059
ABSL Small Cap Fund - Regular - Growth,2023,10,57.5676
ABSL Small Cap Fund - Regular - Growth,2023,11,56.6362
ABSL Small Cap Fund - Regular - Growth,2023,12,59.7319
ABSL Small Cap Fund - Regular - Growth,2024,1,58.8412
ABSL Small Cap Fund - Regular - Growth,2024,2,58.026
ABSL Small Cap Fund - Regular - Growth,2024,3,61.3892
ABSL Small Cap Fund - Regular - Growth,2024,4,60.1509
ABSL Small Cap Fund - Regular - Growth,2024,5,67.0759
ABSL Small Cap Fund - Regular - Growth,2024,6,65.7349
ABSL Small Cap Fund - Regular - Growth,2024,7,62.8717
ABSL Small Cap Fund - Regular - Growth,2024,8,60.5173
ABSL Small Cap Fund - Regular - Growth,2024,9,64.6675
ABSL Small Cap Fund - Regular - Growth,2024,10,71.3383
ABSL Small Cap Fund - Regular - Growth,2024,11,77.2601
ABSL Small Cap Fund - Regular - Growth,2024,12,71.9597
ABSL Small Cap Fund - Regular - Growth,2025,1,72.0393
ABSL Small Cap Fund - Regular - Growth,2025,2,77.122
ABSL Small Cap Fund - Regular - Growth,2025,3,74.2932
ABSL Small Cap Fund - Regular - Growth,2025,4,71.3797
ABSL Small Cap Fund - Regular - Growth,2025,5,73.5005
ABSL Small Cap Fund - Regular - Growth,2025,6,70.9647
ABSL Small Cap Fund - Regular - Growth,2025,7,65.2254
ABSL Small Cap Fund - Regular - Growth,2025,8,64.3066
ABSL Small Cap Fund - Regular - Growth,2025,9,62.0063
ABSL Small Cap Fund - Regular - Growth,2025,10,60.4521
ABSL Small Cap Fund - Regular - Growth,2025,11,64.7939
ABSL Small Cap Fund - Regular - Growth,2025,12,65.5048
ABSL Small Cap Fund - Regular - Growth,2026,1,63.9235
ABSL Small Cap Fund - Regular - Growth,2026,2,58.8615
ABSL Small Cap Fund - Regular - Growth,2026,3,59.4277
ABSL Small Cap Fund - Regular - Growth,2026,4,55.5902
ABSL Small Cap Fund - Regular - Growth,2026,5,53.2158
Axis Bluechip Fund - Direct - Growth,2022,1,40.5503
Axis Bluechip Fund - Direct - Growth,2022,2,40.9611
Axis Bluechip Fund - Direct - Growth,2022,3,39.678
Axis Bluechip Fund - Direct - Growth,2022,4,39.2337
Axis Bluechip Fund - Direct - Growth,2022,5,37.9033
Axis Bluechip Fund - Direct - Growth,2022,6,38.2954
Axis Bluechip Fund - Direct - Growth,2022,7,35.9613
Axis Bluechip Fund - Direct - Growth,2022,8,35.7716
Axis Bluechip Fund - Direct - Growth,2022,9,36.975
Axis Bluechip Fund - Direct - Growth,2022,10,36.4046
Axis Bluechip Fund - Direct - Growth,2022,11,36.4306
Axis Bluechip Fund - Direct - Growth,2022,12,35.5709
Axis Bluechip Fund - Direct - Growth,2023,1,35.3953
Axis Bluechip Fund - Direct - Growth,2023,2,34.7763
Axis Bluechip Fund - Direct - Growth,2023,3,34.7275
Axis Bluechip Fund - Direct - Growth,2023,4,34.9602
Axis Bluechip Fund - Direct - Growth,2023,5,33.6458
Axis Bluechip Fund - Direct - Growth,2023,6,33.7574
Axis Bluechip Fund - Direct - Growth,2023,7,34.3158
Axis Bluechip Fund - Direct - Growth,2023,8,35.9023
Axis Bluechip Fund - Direct - Growth,2023,9,38.6483
Axis Bluechip Fund - Direct - Growth,2023,10,38.0617
Axis Bluechip Fund - Direct - Growth,2023,11,38.6837
Axis Bluechip Fund - Direct - Growth,2023,12,41.0277
Axis Bluechip Fund - Direct - Growth,2024,1,42.0827
Axis Bluechip Fund - Direct - Growth,2024,2,42.9978
Axis Bluechip Fund - Direct - Growth,2024,3,44.6708
Axis Bluechip Fund - Direct - Growth,2024,4,45.562
Axis Bluechip Fund - Direct - Growth,2024,5,45.7808
Axis Bluechip Fund - Direct - Growth,2024,6,47.8848
Axis Bluechip Fund - Direct - Growth,2024,7,45.9486
Axis Bluechip Fund - Direct - Growth,2024,8,45.9028
Axis Bluechip Fund - Direct - Growth,2024,9,47.5304
Axis Bluechip Fund - Direct - Growth,2024,10,48.4536
Axis Bluechip Fund - Direct - Growth,2024,11,48.0818
Axis Bluechip Fund - Direct - Growth,2024,12,47.3537
Axis Bluechip Fund - Direct - Growth,2025,1,45.4792
Axis Bluechip Fund - Direct - Growth,2025,2,45.8994
Axis Bluechip Fund - Direct - Growth,2025,3,49.8735
Axis Bluechip Fund - Direct - Growth,2025,4,48.27
Axis Bluechip Fund - Direct - Growth,2025,5,47.968
Axis Bluechip Fund - Direct - Growth,2025,6,49.7645
Axis Bluechip Fund - Direct - Growth,2025,7,51.1522
Axis Bluechip Fund - Direct - Growth,2025,8,53.7259
Axis Bluechip Fund - Direct - Growth,2025,9,53.1952
Axis Bluechip Fund - Direct - Growth,2025,10,52.9975
Axis Bluechip Fund - Direct - Growth,2025,11,56.1309
Axis Bluechip Fund - Direct - Growth,2025,12,57.7253
Axis Bluechip Fund - Direct - Growth,2026,1,55.4206
Axis Bluechip Fund - Direct - Growth,2026,2,52.3841
Axis Bluechip Fund - Direct - Growth,2026,3,51.4105
Axis Bluechip Fund - Direct - Growth,2026,4,52.9487
Axis Bluechip Fund - Direct - Growth,2026,5,56.3754
Axis Bluechip Fund - Regular - Growth,2022,1,38.8517
Axis Bluechip Fund - Regular - Growth,2022,2,39.8676
Axis Bluechip Fund - Regular - Growth,2022,3,38.1799
Axis Bluechip Fund - Regular - Growth,2022,4,36.0568
Axis Bluechip Fund - Regular - Growth,2022,5,36.1972
Axis Bluechip Fund - Regular - Growth,2022,6,36.9419
Axis Bluechip Fund - Regular - Growth,2022,7,37.7018
Axis Bluechip Fund - Regular - Growth,2022,8,38.3621
Axis Bluechip Fund - Regular - Growth,2022,9,39.9486
Axis Bluechip Fund - Regular - Growth,2022,10,42.7572
Axis Bluechip Fund - Regular - Growth,2022,11,44.4885
Axis Bluechip Fund - Regular - Growth,2022,12,46.0077
Axis Bluechip Fund - Regular - Growth,2023,1,46.2754
Axis Bluechip Fund - Regular - Growth,2023,2,46.7045
Axis Bluechip Fund - Regular - Growth,2023,3,46.3491
Axis Bluechip Fund - Regular - Growth,2023,4,47.6626
Axis Bluechip Fund - Regular - Growth,2023,5,49.3261
Axis Bluechip Fund - Regular - Growth,2023,6,49.2823
Axis Bluechip Fund - Regular - Growth,2023,7,50.6019
Axis Bluechip Fund - Regular - Growth,2023,8,51.6137
Axis Bluechip Fund - Regular - Growth,2023,9,52.2809
Axis Bluechip Fund - Regular - Growth,2023,10,53.5721
Axis Bluechip Fund - Regular - Growth,2023,11,52.3885
Axis Bluechip Fund - Regular - Growth,2023,12,52.4933
Axis Bluechip Fund - Regular - Growth,2024,1,51.8381
Axis Bluechip Fund - Regular - Growth,2024,2,50.6832
Axis Bluechip Fund - Regular - Growth,2024,3,50.9704
Axis Bluechip Fund - Regular - Growth,2024,4,50.4212
Axis Bluechip Fund - Regular - Growth,2024,5,49.6999
Axis Bluechip Fund - Regular - Growth,2024,6,49.5843
Axis Bluechip Fund - Regular - Growth,2024,7,50.4119
Axis Bluechip Fund - Regular - Growth,2024,8,50.2308
Axis Bluechip Fund - Regular - Growth,2024,9,49.5377
Axis Bluechip Fund - Regular - Growth,2024,10,50.6758
Axis Bluechip Fund - Regular - Growth,2024,11,49.9929
Axis Bluechip Fund - Regular - Growth,2024,12,48.4726
Axis Bluechip Fund - Regular - Growth,2025,1,48.8456
Axis Bluechip Fund - Regular - Growth,2025,2,48.5086
Axis Bluechip Fund - Regular - Growth,2025,3,48.2581
Axis Bluechip Fund - Regular - Growth,2025,4,47.6821
Axis Bluechip Fund - Regular - Growth,2025,5,50.1072
Axis Bluechip Fund - Regular - Growth,2025,6,49.7962
Axis Bluechip Fund - Regular - Growth,2025,7,51.4517
Axis Bluechip Fund - Regular - Growth,2025,8,52.1032
Axis Bluechip Fund - Regular - Growth,2025,9,50.0405
Axis Bluechip Fund - Regular - Growth,2025,10,51.4806
Axis Bluechip Fund - Regular - Growth,2025,11,52.0302
Axis Bluechip Fund - Regular - Growth,2025,12,53.3176
Axis Bluechip Fund - Regular - Growth,2026,1,55.6632
Axis Bluechip Fund - Regular - Growth,2026,2,55.0272
Axis Bluechip Fund - Regular - Growth,2026,3,51.4284
Axis Bluechip Fund - Regular - Growth,2026,4,51.9292
Axis Bluechip Fund - Regular - Growth,2026,5,50.6834
Axis Midcap Fund - Regular - Growth,2022,1,67.5362
Axis Midcap Fund - Regular - Growth,2022,2,70.0816
Axis Midcap Fund - Regular - Growth,2022,3,72.7931
Axis Midcap Fund - Regular - Growth,2022,4,73.9944
Axis Midcap Fund - Regular - Growth,2022,5,72.0367
Axis Midcap Fund - Regular - Growth,2022,6,66.6813
Axis Midcap Fund - Regular - Growth,2022,7,65.6793
Axis Midcap Fund - Regular - Growth,2022,8,64.6601
Axis Midcap Fund - Regular - Growth,2022,9,67.8486
Axis Midcap Fund - Regular - Growth,2022,10,66.1959
Axis Midcap Fund - Regular - Growth,2022,11,69.5464
Axis Midcap Fund - Regular - Growth,2022,12,71.8909
Axis Midcap Fund - Regular - Growth,2023,1,77.7821
Axis Midcap Fund - Regular - Growth,2023,2,82.2474
Axis Midcap Fund - Regular - Growth,2023,3,84.3681
Axis Midcap Fund - Regular - Growth,2023,4,85.8031
Axis Midcap Fund - Regular - Growth,2023,5,83.5538
Axis Midcap Fund - Regular - Growth,2023,6,80.1593
Axis Midcap Fund - Regular - Growth,2023,7,82.8008
Axis Midcap Fund - Regular - Growth,2023,8,86.8961
Axis Midcap Fund - Regular - Growth,2023,9,91.6449
Axis Midcap Fund - Regular - Growth,2023,10,100.0422
Axis Midcap Fund - Regular - Growth,2023,11,105.7222
Axis Midcap Fund - Regular - Growth,2023,12,104.6741
Axis Midcap Fund - Regular - Growth,2024,1,104.2112
Axis Midcap Fund - Regular - Growth,2024,2,101.5153
Axis Midcap Fund - Regular - Growth,2024,3,104.0953
Axis Midcap Fund - Regular - Growth,2024,4,111.0419
Axis Midcap Fund - Regular - Growth,2024,5,117.5619
Axis Midcap Fund - Regular - Growth,2024,6,117.1863
Axis Midcap Fund - Regular - Growth,2024,7,124.9249
Axis Midcap Fund - Regular - Growth,2024,8,132.9418
Axis Midcap Fund - Regular - Growth,2024,9,134.4541
Axis Midcap Fund - Regular - Growth,2024,10,138.7141
Axis Midcap Fund - Regular - Growth,2024,11,159.1344
Axis Midcap Fund - Regular - Growth,2024,12,150.7076
Axis Midcap Fund - Regular - Growth,2025,1,155.3797
Axis Midcap Fund - Regular - Growth,2025,2,170.0843
Axis Midcap Fund - Regular - Growth,2025,3,165.0363
Axis Midcap Fund - Regular - Growth,2025,4,158.3027
Axis Midcap Fund - Regular - Growth,2025,5,164.075
Axis Midcap Fund - Regular - Growth,2025,6,162.347
Axis Midcap Fund - Regular - Growth,2025,7,164.8084
Axis Midcap Fund - Regular - Growth,2025,8,164.6368
Axis Midcap Fund - Regular - Growth,2025,9,170.8191
Axis Midcap Fund - Regular - Growth,2025,10,188.0544
Axis Midcap Fund - Regular - Growth,2025,11,198.2236
Axis Midcap Fund - Regular - Growth,2025,12,201.5594
Axis Midcap Fund - Regular - Growth,2026,1,190.5042
Axis Midcap Fund - Regular - Growth,2026,2,202.9602
Axis Midcap Fund - Regular - Growth,2026,3,200.6428
Axis Midcap Fund - Regular - Growth,2026,4,192.6332
Axis Midcap Fund - Regular - Growth,2026,5,198.2992
Axis Small Cap Fund - Regular - Growth,2022,1,52.8123
Axis Small Cap Fund - Regular - Growth,2022,2,49.644
Axis Small Cap Fund - Regular - Growth,2022,3,52.4437
Axis Small Cap Fund - Regular - Growth,2022,4,53.497
Axis Small Cap Fund - Regular - Growth,2022,5,58.1822
Axis Small Cap Fund - Regular - Growth,2022,6,65.7579
Axis Small Cap Fund - Regular - Growth,2022,7,75.7599
Axis Small Cap Fund - Regular - Growth,2022,8,71.1199
Axis Small Cap Fund - Regular - Growth,2022,9,74.5584
Axis Small Cap Fund - Regular - Growth,2022,10,77.2622
Axis Small Cap Fund - Regular - Growth,2022,11,74.1619
Axis Small Cap Fund - Regular - Growth,2022,12,74.744
Axis Small Cap Fund - Regular - Growth,2023,1,78.0239
Axis Small Cap Fund - Regular - Growth,2023,2,79.5099
Axis Small Cap Fund - Regular - Growth,2023,3,85.3132
Axis Small Cap Fund - Regular - Growth,2023,4,80.2716
Axis Small Cap Fund - Regular - Growth,2023,5,81.8037
Axis Small Cap Fund - Regular - Growth,2023,6,80.6945
Axis Small Cap Fund - Regular - Growth,2023,7,77.8137
Axis Small Cap Fund - Regular - Growth,2023,8,85.9815
Axis Small Cap Fund - Regular - Growth,2023,9,91.7357
Axis Small Cap Fund - Regular - Growth,2023,10,94.3816
Axis Small Cap Fund - Regular - Growth,2023,11,90.0857
Axis Small Cap Fund - Regular - Growth,2023,12,78.7992
Axis Small Cap Fund - Regular - Growth,2024,1,73.9495
Axis Small Cap Fund - Regular - Growth,2024,2,71.5795
Axis Small Cap Fund - Regular - Growth,2024,3,75.3007
Axis Small Cap Fund - Regular - Growth,2024,4,76.6701
Axis Small Cap Fund - Regular - Growth,2024,5,75.095
Axis Small Cap Fund - Regular - Growth,2024,6,70.9509
Axis Small Cap Fund - Regular - Growth,2024,7,73.0145
Axis Small Cap Fund - Regular - Growth,2024,8,73.2403
Axis Small Cap Fund - Regular - Growth,2024,9,74.604
Axis Small Cap Fund - Regular - Growth,2024,10,78.51
Axis Small Cap Fund - Regular - Growth,2024,11,80.8844
Axis Small Cap Fund - Regular - Growth,2024,12,75.3824
Axis Small Cap Fund - Regular - Growth,2025,1,78.7977
Axis Small Cap Fund - Regular - Growth,2025,2,79.641
Axis Small Cap Fund - Regular - Growth,2025,3,90.5806
Axis Small Cap Fund - Regular - Growth,2025,4,94.2503
Axis Small Cap Fund - Regular - Growth,2025,5,102.7071
Axis Small Cap Fund - Regular - Growth,2025,6,97.347
Axis Small Cap Fund - Regular - Growth,2025,7,86.6452
Axis Small Cap Fund - Regular - Growth,2025,8,85.1349
Axis Small Cap Fund - Regular - Growth,2025,9,73.7489
Axis Small Cap Fund - Regular - Growth,2025,10,72.5457
Axis Small Cap Fund - Regular - Growth,2025,11,72.9223
Axis Small Cap Fund - Regular - Growth,2025,12,68.8695
Axis Small Cap Fund - Regular - Growth,2026,1,66.9449
Axis Small Cap Fund - Regular - Growth,2026,2,66.4707
Axis Small Cap Fund - Regular - Growth,2026,3,68.0263
Axis Small Cap Fund - Regular - Growth,2026,4,63.9175
Axis Small Cap Fund - Regular - Growth,2026,5,54.5697
DSP Midcap Fund - Regular - Growth,2022,1,79.327
DSP Midcap Fund - Regular - Growth,2022,2,81.108
DSP Midcap Fund - Regular - Growth,2022,3,79.6168
DSP Midcap Fund - Regular - Growth,2022,4,79.1435
DSP Midcap Fund - Regular - Growth,2022,5,82.0384
DSP Midcap Fund - Regular - Growth,2022,6,83.1833
DSP Midcap Fund - Regular - Growth,2022,7,81.7606
DSP Midcap Fund - Regular - Growth,2022,8,80.8443
DSP Midcap Fund - Regular - Growth,2022,9,79.8649
DSP Midcap Fund - Regular - Growth,2022,10,76.8748
DSP Midcap Fund - Regular - Growth,2022,11,77.7308
DSP Midcap Fund - Regular - Growth,2022,12,86.2415
DSP Midcap Fund - Regular - Growth,2023,1,87.9618
DSP Midcap Fund - Regular - Growth,2023,2,86.612
DSP Midcap Fund - Regular - Growth,2023,3,98.1922
DSP Midcap Fund - Regular - Growth,2023,4,110.2604
DSP Midcap Fund - Regular - Growth,2023,5,117.3627
DSP Midcap Fund - Regular - Growth,2023,6,126.8991
DSP Midcap Fund - Regular - Growth,2023,7,129.3659
DSP Midcap Fund - Regular - Growth,2023,8,137.112
DSP Midcap Fund - Regular - Growth,2023,9,138.0556
DSP Midcap Fund - Regular - Growth,2023,10,138.6507
DSP Midcap Fund - Regular - Growth,2023,11,134.1161
DSP Midcap Fund - Regular - Growth,2023,12,132.8935
DSP Midcap Fund - Regular - Growth,2024,1,139.6413
DSP Midcap Fund - Regular - Growth,2024,2,142.6504
DSP Midcap Fund - Regular - Growth,2024,3,133.9239
DSP Midcap Fund - Regular - Growth,2024,4,129.9628
DSP Midcap Fund - Regular - Growth,2024,5,125.3324
DSP Midcap Fund - Regular - Growth,2024,6,125.7162
DSP Midcap Fund - Regular - Growth,2024,7,133.2344
DSP Midcap Fund - Regular - Growth,2024,8,151.946
DSP Midcap Fund - Regular - Growth,2024,9,167.9615
DSP Midcap Fund - Regular - Growth,2024,10,186.591
DSP Midcap Fund - Regular - Growth,2024,11,193.4421
DSP Midcap Fund - Regular - Growth,2024,12,201.6945
DSP Midcap Fund - Regular - Growth,2025,1,218.593
DSP Midcap Fund - Regular - Growth,2025,2,211.15
DSP Midcap Fund - Regular - Growth,2025,3,204.1349
DSP Midcap Fund - Regular - Growth,2025,4,195.2679
DSP Midcap Fund - Regular - Growth,2025,5,198.3109
DSP Midcap Fund - Regular - Growth,2025,6,203.2415
DSP Midcap Fund - Regular - Growth,2025,7,213.362
DSP Midcap Fund - Regular - Growth,2025,8,219.2927
DSP Midcap Fund - Regular - Growth,2025,9,222.5865
DSP Midcap Fund - Regular - Growth,2025,10,228.5652
DSP Midcap Fund - Regular - Growth,2025,11,241.632
DSP Midcap Fund - Regular - Growth,2025,12,225.4017
DSP Midcap Fund - Regular - Growth,2026,1,226.4417
DSP Midcap Fund - Regular - Growth,2026,2,246.0775
DSP Midcap Fund - Regular - Growth,2026,3,241.9794
DSP Midcap Fund - Regular - Growth,2026,4,247.4555
DSP Midcap Fund - Regular - Growth,2026,5,249.5966
DSP Small Cap Fund - Regular - Growth,2022,1,80.9424
DSP Small Cap Fund - Regular - Growth,2022,2,80.6369
DSP Small Cap Fund - Regular - Growth,2022,3,84.4517
DSP Small Cap Fund - Regular - Growth,2022,4,79.4617
DSP Small Cap Fund - Regular - Growth,2022,5,82.1063
DSP Small Cap Fund - Regular - Growth,2022,6,83.025
DSP Small Cap Fund - Regular - Growth,2022,7,77.9107
DSP Small Cap Fund - Regular - Growth,2022,8,77.6637
DSP Small Cap Fund - Regular - Growth,2022,9,80.9599
DSP Small Cap Fund - Regular - Growth,2022,10,81.1566
DSP Small Cap Fund - Regular - Growth,2022,11,91.5964
DSP Small Cap Fund - Regular - Growth,2022,12,106.0532
DSP Small Cap Fund - Regular - Growth,2023,1,116.6164
DSP Small Cap Fund - Regular - Growth,2023,2,121.6357
DSP Small Cap Fund - Regular - Growth,2023,3,119.0717
DSP Small Cap Fund - Regular - Growth,2023,4,133.2533
DSP Small Cap Fund - Regular - Growth,2023,5,136.5819
DSP Small Cap Fund - Regular - Growth,2023,6,141.7569
DSP Small Cap Fund - Regular - Growth,2023,7,136.5359
DSP Small Cap Fund - Regular - Growth,2023,8,129.3765
DSP Small Cap Fund - Regular - Growth,2023,9,116.8402
DSP Small Cap Fund - Regular - Growth,2023,10,112.932
DSP Small Cap Fund - Regular - Growth,2023,11,115.2535
DSP Small Cap Fund - Regular - Growth,2023,12,134.8016
DSP Small Cap Fund - Regular - Growth,2024,1,149.9938
DSP Small Cap Fund - Regular - Growth,2024,2,149.1559
DSP Small Cap Fund - Regular - Growth,2024,3,142.0928
DSP Small Cap Fund - Regular - Growth,2024,4,158.5014
DSP Small Cap Fund - Regular - Growth,2024,5,167.1649
DSP Small Cap Fund - Regular - Growth,2024,6,163.0599
DSP Small Cap Fund - Regular - Growth,2024,7,157.0604
DSP Small Cap Fund - Regular - Growth,2024,8,140.7656
DSP Small Cap Fund - Regular - Growth,2024,9,141.2471
DSP Small Cap Fund - Regular - Growth,2024,10,131.7627
DSP Small Cap Fund - Regular - Growth,2024,11,127.2943
DSP Small Cap Fund - Regular - Growth,2024,12,128.4294
DSP Small Cap Fund - Regular - Growth,2025,1,134.5507
DSP Small Cap Fund - Regular - Growth,2025,2,143.6851
DSP Small Cap Fund - Regular - Growth,2025,3,151.4539
